scene_id,scene_text,in_summary,aspects
0,"[' ( Sirens wail in the distance . )', ' ( ERNIE MENLO sits in the chair in the center of the darkened room . )', ' ( In front of him stands two men - one holding a bright light on him , the other interrogates him . )', "" [[Interrogator]] i 'm going to make this really simple"", ' [[Interrogator]] who are you working with ?', "" [[Ernie_Menlo]] i 'm , uh , unemployed at the moment"", ' [[Interrogator]] you got any idea what we did to chumps like you back in the day ?', ' [[Ernie_Menlo]] uh , no', "" [[Ernie_Menlo]] look , could you put the a.c. on in here or somethin ' ?"", ' [[Ernie_Menlo]] that , or just , uh , let me go', "" [[Ernie_Menlo]] i mean , you ca n't keep me in here"", "" [[Ernie_Menlo]] it 's against the law"", "" [[Interrogator]] there 's no law in this room"", ' ( He looks at both his interrogators . )', "" [[Ernie_Menlo]] you ca n't touch me""]",1,Victim
1,"["" ( Camera swoops down to show ERNIE MENLO 'S dead body at the base of the 'W ' in the WHISKEYTOWN letter sign . )"", ' ( BRASS , GRISSOM and CATHERINE stand around the body . )', ' [[Brass]] two shots to the back of the head', ' [[Brass]] double tap', "" ( GRISSOM shines his flashlight on the wound at the back of the victim 's neck . )"", "" [[Grissom]] he 's wearing a wig and a fat suit"", "" [[Grissom]] it 's not halloween , is it ?"", "" [[Catherine]] in this town , it 's always halloween"", "" ( BRASS picks up the NEVADA DRIVER 'S LICENSE . )"", ' ( It reads: )', "" [[Brass]] 'ernie menlo '"", "" [[Brass]] well , he was n't carrying a very 'fat ' wad"", ' [[Catherine]] rolex is still on his wrist', ' [[Catherine]] probably rules out robbery', ' [[Catherine]] what do you think ?', "" [[Grissom]] i do n't know"", ' ( GRISSOM turns around and looks at the various signs abandoned and thrown away littering the area . )', "" [[Grissom]] i 'm looking for a sign""]",1,"Crime scene,Death cause"
2,"[' ( CATHERINE is on the phone . )', "" ( A distance away behind her , GRISSOM is with DAVID PHILLIPS near the victim 's body at the base of the 'W ' . )"", "" [[Catherine]] he 's not in the system ?"", ' [[Catherine]] yeah ... got ta be', ' [[Catherine]] okay', ' [[Catherine]] thanks', ' ( CATHERINE hangs up the phone and turns to GRISSOM . )', ' [[Catherine]] so , uh ... brass ran the id', "" [[Catherine]] there 's no 'ernie menlo ' in the system"", ' [[Catherine]] fake', ' [[Grissom]] gsr in the wound track', ' [[Grissom]] no stellate tearing', ' [[Grissom]] gunshots appear to be close range , but non-contact', ' ( GRISSOM bags the wig . )', ' [[David_Phillips]] no exit wounds', ' ( CATHERINE looks around the area . )', "" [[Catherine]] well , i do n't see any shell casings either"", ' [[Catherine]] so maybe the killer picked them up', ' [[Grissom]] professional hit ?', ' ( CATHERINE nods , then steps away a bit and looks at the ground . )', "" ( DAVID picks up the victim 's hand to show the lacerations on his knuckles . )"", ' [[David_Phillips]] major fractures and lacerations on his hands', "" [[Grissom]] lividity 's consistent with body position"", "" [[Grissom]] i do n't think it was a body dump"", ' [[Catherine]] so either he walked in or he got a ride', ' [[Catherine]] either way , this gravel and glass makes good evidence', ' ( She indicates the fragments on the ground . )', "" [[Grissom]] i 'll go ahead and bag a sample"", ' ( CATHERINE takes the camera and walks away to look around the area . )', ' ( GRISSOM opens an evidence bag . )', ' ( CATHERINE walks a distance further and lifts the camera to snap more photos of the tire tracks in the dirt . )', ' ( She stands near the HORSESHOE sign and looks out at the tire tracks of a vehicle that turned around by backing up . )', ' ( As she stands there , she envisions the vehicle backing up , shifting gears , then driving off . )', ' ( The vision ends . )', ' ( CATHERINE takes out a tape measure and measures the tire marks . )', "" ( GRISSOM checks the victim 's shirt pocket and finds a receipt folded inside . )"", ' ( He opens it and reads it: )', "" [[Grissom]] 'rampart casino ' well , his day started out good"", ' [[Grissom]] he won $ 436,278', "" [[David_Phillips]] rampart 's always been lucky for me"", ' [[Grissom]] so where is this money ?', ' ( GRISSOM turns and walks away from DAVID PHILLIPS . )', ' ( CATHERINE finishes measuring the tread markings on the ground . )', ' ( She closes the tape measure . )', ' ( GRISSOM walks up to her . )', ' [[Catherine]] i found some tire treads', ' [[Catherine]] i think the vehicle was making a three-point turn', ' [[Grissom]] and it seems that robbery may be a motive after all', "" ( CATHERINE takes off her sunglasses as she looks at the receipt in GRISSOM 'S hand . )"", ' [[Catherine]] wow !', ' ( She notes the other information: )', ' [[Federal_identification_number]] 88-0513636', "" [[Catherine]] 'rampart ' guess i 'll go check that out"", "" [[Grissom]] you ca n't"", ' [[Grissom]] we found the body under the whiskey town sign and the guy just cleaned out the rampart casino', ' [[Catherine]] coincidence', "" [[Grissom]] even if it is , they 're still sam braun 's casinos"", ' [[Catherine]] why is that a problem ?', "" [[Grissom]] he 's your father"", "" [[Grissom]] you ca n't be on this case"", ' [[Catherine]] gil', ' [[Grissom]] catherine , you have to go home', ' ( CATHERINE hands GRISSOM the tape measure and the camera . )', ' ( She turns and leaves . )']",0,None
3,"["" ( SARA , WARRICK and DAVID PHILLIP work on the victim 's body . )"", "" ( Camera view down on ERNIE MENLO 'S body on the autopsy table . )"", "" ( He 's still in the fat suit . )"", ' ( SARA picks up something off of his forehead and puts it in a clean envelope . )', "" ( DAVID PHILLIPS puts the victim 's clothes in a package . )"", "" ( WARRICK works on the victim 's lacerated hand . )"", ' ( SARA removes the rolex watch . )', ' ( She looks at it . )', "" ( It 's 9:41 am . )"", ' [[Sara]] no ticks', "" [[Sara]] it 's authentic"", ' ( She flips the watch over and looks at the back . )', "" [[Sara]] logo sticker is n't worn down"", ' [[Sara]] watch could be new', ' [[Warrick]] guy hits the jackpot , has to celebrate', ' [[Warrick]] goes and buys some bling-bling to impress the strippers with', "" ( DAVID lifts up the body 's foot and sees the holes in the sock 's heels . )"", ' [[Warrick]] what have you got ?', ' ( WARRICK and SARA both look at the feet . )', ' [[Warrick]] air conditioned socks']",0,None
4,"[' ( The floor is crowded as people play at the tables . )', ' [[Croupier]] insurance ?', ' [[Croupier]] craps', ' ( The players sitting around the table groan . )', ' [[Croupier]] seven !', ' ( The players groan . )', ' ( The roulette wheel turns )', ' [[Croupier]] twenty-four is even', ' ( The game ends and the players stand for the next people . )', ' ( GRISSOM stands in the middle of the main floor and looks around the room . )', ' ( He notes the cameras high up in the ceiling . )', ' ( BRASS walks up to him . )', "" [[Brass]] so , i talked to the pit boss who signed the vic 's w-2"", ' [[Brass]] he was pulling surveillance', ' [[Brass]] he remembers the big winner', "" ( GRISSOM does n't say anything . )"", ' ( SAM BRAUN makes his way through the crowd toward GRISSOM and BRASS . )', ' [[Brass]] sam braun !', ' [[Brass]] what a surprise !', ' [[Sam_Braun]] the fat kid ... he was cheating', ' [[Brass]] what do you do about it ?', ' [[Sam_Braun]] well , we had a little chat', "" [[Sam_Braun]] i did n't kill him"", ' [[Grissom]] did you take him to the box ?', "" [[Sam_Braun]] gentlemen , these days , we call it 'the holding room '""]",0,None
5,"[' ( The door to the holding room opens . )', ' ( SAM BRAUN flicks the lights on and GRISSOM walks in He looks around . )', ' [[Grissom]] smells like the cleaning crew just left', ' ( GRISSOM sets his kit down on the floor . )', ' [[Sam_Braun]] security brought the kid down here around 2:00 a.m', ' [[Sam_Braun]] i came in we talked', ' [[Sam_Braun]] he walked out around three', ' ( SAM BRAUN walks over to the camera as GRISSOM stands up . )', ' ( The camera reads: )', ' ( SAM BRAUN points to the camera . )', "" [[Sam_Braun]] it 's all in there"", ' [[Grissom]] well , good', "" [[Grissom]] we 'll look at the tapes a little later"", ' ( GRISSOM points to the light switch . )', ' [[Grissom]] would you turn off the lights , please ?', ' ( SAM BRAUN turns around and flicks the lights off . )', "" [[Sam_Braun]] it 's well within my rights to have a discussion with anyone in my place"", ' ( GRISSOM uses the ALS on the walls . )', ' [[Sam_Braun]] the kid was cheating', ' [[Sam_Braun]] i wanted to know how', ' ( Quick flashback to : [_HOLDING_ROOM_] SAM BRAUN talks with ERNIE MENLO . )', ' [[Sam_Braun]] nobody wins 400k at roulette', "" [[Sam_Braun]] what 's your system ?"", ' [[Ernie_Menlo]] clean living ... good karma', "" [[Ernie_Menlo]] but either you call the cops and book me now , or i 'm out of here"", "" [[Sam_Braun]] you 're no longer welcome at the rampart"", ' [[Ernie_Menlo]] awesome', "" [[Ernie_Menlo]] okay , i 'll take my money and go"", ' ( ERNIE stands up to leave . )', ' ( End of flashback . )', ' ( Resume to present . )', ' ( GRISSOM continues to ALS the room . )', ' [[Sam_Braun]] do you have any idea the house advantage in roulette ?', ' [[Grissom]] five point two six percent', ' [[Grissom]] albert einstein had a theory about roulette', "" [[Grissom]] he said the only way to win at roulette is to steal the money from the table when the croupier is n't looking"", "" [[Sam_Braun]] there 's always someone looking"", ' ( GRISSOM kneels down to look under the table . )', ' [[Grissom]] well , maybe it was an inside job , sam', ' [[Grissom]] maybe somebody bought off one of your guys', ' ( SAM smiles as he reads GRISSOM . )', "" [[Sam_Braun]] i 'm curious"", ' [[Sam_Braun]] what bothers you more ?', "" [[Sam_Braun]] the fact that you could n't pin a murder on me or that catherine cashed my check ?"", "" ( GRISSOM stops what he 's doing and slowly stands up to look at SAM BRAUN . )"", ' [[Sam_Braun]] there were no strings on that money', ' ( GRISSOM takes off his glasses . )', "" [[Grissom]] just because you ca n't see something does n't mean it 's not there"", ' [[Sam_Braun]] believe whatever you like', ' [[Sam_Braun]] that kid walked out of here with my money', ' [[Sam_Braun]] if you figure out how he ripped me off , would you let me know ?', ' ( SAM turns and leaves the room ; GRISSOM watches him leave . )']",0,None
6,"["" ( ROBBINS examines ERNIE MENLO 'S feet as WARRICK watches . )"", "" [[Robbins]] for what it 's worth , these bruises correspond to the holes in his sock"", ' ( ROBBINS walks around the body toward the head-side of the table . )', "" [[Warrick]] well , he 's been worked over pretty good"", "" [[Warrick]] he 's got a nice fat lip"", ' [[Robbins]] yeah', ' [[Robbins]] there was a good clot in the wound , and the tissues were contused', "" [[Robbins]] i 'd say it occurred at least an hour or two before death"", ' [[Robbins]] i teased out a couple of small-caliber projectiles from his brain', ' ( He holds out the bullets . )', ' ( He gives them to WARRICK . )', ' [[Robbins]] one was embedded in the right frontal cortex', ' [[Robbins]] the other lodged in the first cervical vertebra', "" [[Warrick]] it 's copper-washed lead"", ' [[Warrick]] must be a .22', "" [[Robbins]] you know , historically , .22s were the hit man 's bullet of choice"", ' ( Quick CGI POV : The gun shot sounds and the bullet hits the brain and swishes around inside . )', ' [[Robbins]] they have the energy to enter into the cranial vault , but not enough to exit , so they just ricochet around inside , shredding the gray matter until they stop', ' ( End of CGI POV . )', ' ( Resume to present . )', ' [[Warrick]] nice', "" [[Robbins]] there 's also extensive crush injury to both hands , with fractures of the metacarpals and the phalanges"", "" ( ROBBINS picks up the body 's wrist to show WARRICK the knuckles . )"", ' [[Robbins]] bruises appear perimortem', ' [[Warrick]] any idea what might have caused that kind of damage ?', ' ( ROBBINS indicates the x-rays up on the view box behind WARRICK who turns around to look at them . )', "" [[Robbins]] given the fracture pattern , i 'd guess it was some sort of blunt object"", ' [[Warrick]] maybe a ball peen hammer', ' [[Robbins]] what gets you to that ?', "" [[Warrick]] they used to tell me back in the days , the first time you got caught cheating , they 'd give you a couple whacks on the hand with a ball peen hammer"", ' [[Robbins]] ow', "" [[Warrick]] the second time , you 'd lose a limb"", ' [[Robbins]] third time ?', ' [[Warrick]] a long walk in the desert with a shovel']",0,None
7,"["" ( WARRICK takes out the victim 's shoes from the package to look at them . )"", ' ( On the underside of the shoe , he finds pieces of color glass shards embedded in the rubber . )', ' ( He looks inside the shoe and finds an elaborate series of buttons and electronic switches . )', ' ( Camera zooms in to give us a nice view of the electronics . )', ' ( It ends on the Energizer battery inside the shoe . )', ' ( WARRICK pulls the slip in out of the shoe . )']",0,None
8,"[' ( GRISSOM walks down the stairs as WARRICK fills him in )', ' [[Grissom]] a computer in his shoe', "" [[Warrick]] as far as i could tell , it 's a wireless receiver"", "" [[Warrick]] it picks up a signal , solenoids drive the points up against the guy 's foot , tells him what number to bet"", ' [[Grissom]] based on what ?', "" [[Warrick]] i do n't know"", "" [[Warrick]] archie 's working on it right now"", ' [[Grissom]] well , if our vic was the receiver , there has to be a transmitter', ' ( SARA steps out of the lounge and joins them . )', ' [[Sara]] hey , i got an id on our vic', ' [[Sara]] a teddy keller', ' [[Sara]] everyone who buys a rolex gets registered at the point of purchase', ' [[Sara]] so i ran the serial number', ' [[Sara]] he bought the watch at the forum shops two days ago', ' [[Sara]] and i got his home address', "" [[Grissom]] well , his driver 's license was fake , so , this could be fake , too"", ' [[Sara]] a fake id is for scamming a casino', ' [[Sara]] a baller puts his real name on a roley', ' ( GRISSOM turns and gives SARA a look , surprised by what he just heard . )', ' ( She shrugs it off and waves the papers in her hand toward WARRICK . )', ' [[Sara]] what ?', ' [[Sara]] he rubs off']",0,None
9,"[' ( MR GREEN , the landlord , shows BRASS and WARRICK to the apartment . )', ' [[Joseph_Greene_(landlord)]] teddy deller', "" [[Joseph_Greene_(landlord)]] that 's apartment 27"", ' [[Joseph_Greene_(landlord)]] is he in some kind of trouble ?', ' [[Joseph_Greene_(landlord)]] hey , john', ' ( He greets the MAN walking by off screen . )', ' [[John]] hey , mr green', ' ( They continue walking . )', ' [[Brass]] when was the last time you saw him ?', "" [[Joseph_Greene_(landlord)]] i do n't know"", "" [[Joseph_Greene_(landlord)]] he 's got a roommate -- davis mullins"", ' [[Joseph_Greene_(landlord)]] oh , yeah , they eat a tremendous amount of pizza', ' [[Joseph_Greene_(landlord)]] tremendous amount of pizza and calzone', ' [[Joseph_Greene_(landlord)]] i feel like bopping that delivery guy every time he buzzes the gate', ' ( They reach the apartment door at the top of the stairs . )', ' [[Joseph_Greene_(landlord)]] here we are', ' ( He knocks on the door . )', ' [[Joseph_Greene_(landlord)]] anybody home ?', "" ( There 's no answer . )"", ' ( He knocks again )', ' [[Joseph_Greene_(landlord)]] hello ?', "" [[Brass]] i guess the roommate 's out , huh ?"", ' ( MR GREEN uses the key and unlocks the door . )', ' ( He opens the door and they walk inside . )', ' ( WARRICK and BRASS walk into the apartment and look around . )', ' ( The LANDLORD steps out of the apartment . )', "" [[Warrick]] it 's freezing in here"", ' ( In the center of the living room , a huge roulette wheel and table has been set up . )', ' [[Warrick]] get a load of this wheel', "" [[Warrick]] it 's regulation"", ' [[Warrick]] these things run about 1,500 bucks', ' [[Brass]] well , they cleared almost half a mil', "" [[Brass]] it 's a good investment"", ' [[Warrick]] yeah', ' ( BRASS turns to look at the rest of the apartment . )', ' ( WARRICK notes the various colored and numbered charts hanging on the wall . )', ' [[Warrick]] these guys definitely had a system', ' ( BRASS opens the bedroom door and looks inside . )', ' [[Brass]] hey , rick , you might want to check this out', ' ( WARRICK turns and heads for the bedroom . )', ' ( On the floor at the foot of the bed , they find a dead body . )', "" [[Warrick]] looks like the roommate 's home after all""]",1,"Victim,Perpetrator"
