scene_id,scene_text,in_summary,aspects
0,"[' ( A dark colored large bird flies across the bottom of the screen . )', ' ( The shadow of the large bird travels along the rocks below . )', ' ( The bird caws . )', ' ( Camera travels birds-eye above the mountains . )', ' ( A frog sits and croaks under the fallen leaves . )', ' ( A man walks across the screen disturbing the leaves and making the frog jump aside . )', ' ( Cut to : A group of three men walk along the path . )', ' ( Cut to : The bird flies overhead . )', ' ( Cut to : The men continue to walk along the path . )', ' ( Cut to : The bird flies down low along the path and settles on a nest in a tree . )']",0,None
1,"[' ( The men approach the bird and quietly . )', ' ( They stop . )', "" [[Lead_Man_1]] i do n't think i can get a clear shot"", ' ( Each of the three men pick up their cameras to take pictures . )', "" [[Man_2_(on_right)]] it 's a peregrine falcon"", "" [[Man_3_(on_left)]] no , it 's not"", "" [[Man_3_(on_left)]] it 's a hawk"", "" [[Lead_Man_1]] you ca n't see anything this time of day"", ' [[Lead_Man_1]] we should come back at dawn', "" [[Man_2_(on_right)]] but i 'm so behind on my life list"", "" [[Man_2_(on_right)]] i still do n't have a western wood-pewee or a solitary sandpiper"", "" [[Lead_Man]] what , do you think they 're going to kick you out of the club ?"", ' [[Man_2_(on_right)]] john saw a dickcissel earlier today', ' [[Man_2_(on_right)]] it could be gone tomorrow', "" [[Lead_Man]] john 's full of"", ' ( The bird caws . )', ' ( The men stop to look through their cameras . )', ' [[Lead_Man]] corvus corax', ' [[Man_2_(on_right)]] a common raven ?', ' [[Man_2_(on_right)]] so what ?']",0,None
2,"[' ( The camera focuses and refocuses on the bird . )', "" ( They see that in the bird 's mouth , it 's carrying an eye . )"", ' ( The men put their cameras down . )']",0,None
3,"["" ( Camera cuts to : A close up of GRISSOM 'S eye . )"", ' ( The camera pulls back . )', ' ( He stares at the eye in his hand . )', "" [[Grissom]] well , someone 's missing a contact lens"", "" ( GRISSOM and CATHERINE stand on ladders peering into the bird 's nest . )"", "" [[Catherine]] that 's not all they 're missing"", ' [[Grissom]] you know , ravens , like eagles , have been known to travel 30 miles from roost to feeding ground', ' [[Catherine]] 30 miles in every direction', ' [[Catherine]] pi-r-squared', "" [[Catherine]] that means that we 're looking at a ... 2,800 mile search area"", "" [[Grissom]] 'once upon a midnight dreary while i pondered weak and weary over many a quaint and curious volume of forgotten lore '"", "" [[Catherine]] we 're up a tree and you 're quoting poe"", ' [[Catherine]] give me something', "" [[Grissom]] 'quoth the raven , 'only this ... and nothing more ''""]",0,None
4,"[' ( GRISSOM puts the eye in a dish and takes a couple of photos of it . )', ' ( Quick flashback to : The raven , caws , picks the eye up off of the ground and flies off . )', ' ( End of flashback . )', ' ( Resume to present . )', ' ( GRISSOM picks up the eye and drops liquid on it . )', ' ( He removes the contact lens . )', ' ( He uncaps a syringe and extracts the liquid from the eye and puts it in a tube . )']",0,None
5,"["" ( CATHERINE examines the contents of the bird 's nest . )"", ' ( She picks up a baby toy from inside . )', ' ( She looks at it and smiles . )', ' ( She puts it aside . )', ' ( GRISSOM walks into the room . )', "" [[Grissom]] you 'll be pleased to know the eyeball was only slightly desiccated"", ' [[Catherine]] and what about the iris ?', ' [[Grissom]] still blue', "" [[Catherine]] color distinction means the body 's been dead less than 48 hours yeah , i sent some vitreous fluid to tox"", ' [[Grissom]] the rest to dna', ' [[Grissom]] so ... can you get me an eye for an eye ?', "" [[Catherine]] well , i 've got foil ... a leaf ... a feather and plastic"", ' ( GRISSOM picks up the feather and looks at it . )', ' [[Grissom]] feathers', ' [[Grissom]] for warmth', ' [[Catherine]] seagull feathers', "" [[Grissom]] well , the only place we 'd have seagulls around here would be lake mead"", "" [[Catherine]] but only when the fishing 's good"", ' [[Catherine]] and we got some ground limestone', ' [[Grissom]] not found at lake mead', ' [[Grissom]] you know , ravens are incredibly intelligent', ' [[Grissom]] they have a brain capacity comparable to dolphins', ' [[Catherine]] means they know where to shop', ' ( CATHERINE looks over at the map on the table . )', ' [[Catherine]] we found the eye here', ' [[Catherine]] i bet she shopped here where limestone is used as ground cover']",0,None
6,"[' ( A very pretty kaleidoscope of bird flying in the sky . )', "" ( SARA , NICK and CATHERINE walk toward the cell of garbage that they 're going to sift through . )"", "" ( CATHERINE 'S holding the file open . )"", ' [[Sara]] you know the average nevadan generates more waste more than three times waste than the average american ?', "" [[Nick]] yeah , well , that 's tourist trash"", ' [[Sara]] thirteen million pounds per day', ' [[Sara]] i went to the recycling forum in march', ' [[Catherine]] the landfill manager says this is the active cell', ' [[Catherine]] spotter says cell lift moves forward 20 feet a day', ' [[Catherine]] that puts the active cell right ... pretty much in front of us', ' [[Nick]] man !', ' [[Nick]] you find the best evidence in the nastiest places', ' [[Catherine]] you are what you throw away', "" [[Sara]] it 's like peeling an onion into peoples ' lives"", ' [[Catherine]] well , this onion is our time line so peel back accordingly']",0,None
7,"[' ( ROBBINS stands in front of the display of x-rays on the viewer . )', ' ( GRISSOM stands nearby with the file folder in his hands . )', ' [[Robbins]] the electrolyte and glucose levels in the eye were normal', "" [[Robbins]] means your victim was n't dehydrated or diabetic"", ' [[Robbins]] other than that', "" [[Grissom]] ... we 're flying blind"", ' ( They turn around and head back to the table . )', ' [[Grissom]] david', ' [[David_Phillips]] grissom', ' ( GRISSOM stops and looks at DAVID PHILLIPS . )', ' [[Grissom]] a 35-year-old male', ' [[Grissom]] car salesman', ' [[Grissom]] dropped dead at work', ' [[Grissom]] apparent heart attack', ' [[Grissom]] not under the care of a physician', ' [[Grissom]] uh , no history of high blood pressure', ' [[Grissom]] just routine autopsy', ' [[Grissom]] go for it', ' ( GRISSOM heads out the front door . )', ' ( DAVID pulls back the sheet . )', "" [[David_Phillips]] yeah , we 're all set , dr robbins"", ' [[Robbins]] okay , david', ' [[Robbins]] case 03-615', ' [[Robbins]] postmortem exam of an adult', ' [[Robbins]] caucasian', ' [[Robbins]] male', ' [[Robbins]] identified as fred stearns', ' [[Robbins]] body received warm to the touch', ' [[Robbins]] rigor mortis not present', ' [[Robbins]] skull nose , bones are intact by palpation', ' [[Robbins]] irides are brown', ' [[Robbins]] slightly congested', ' [[Robbins]] hmm', ' [[Robbins]] unidentified dry black substance on the front of the teeth', ' [[Robbins]] gingiva and lips', ' [[Robbins]] okay', ' [[Robbins]] david , open him up', ' ( DAVID takes the knife and makes the first cut . )', ' ( He sees blood and stops . )', ' [[David]] uh ... d-dr robbins ?', ' [[Robbins]] hmm ?', ' [[David]] sir , i-i have blood', ' [[David]] i have bleeding', ' ( ROBBINS turns around and heads back to the table . )', ' ( He grabs a cloth to stop the bleeding . )', ' ( DAVID takes the cloth and applies pressure . )', ' [[Robbins]] get me my kit', ' [[Robbins]] come on', ' ( DAVID turns and gets the kit and puts it near the head of the table . )', ' [[Robbins]] hold this', "" [[Robbins]] let 's go"", ' [[Robbins]] keep it tight', "" [[Robbins]] that 's good , david"", "" ( ROBBINS puts a syringe together and plunges it into FRED STEARNS ' chest . )"", ' ( Quick CGI to : The needle of the syringe pierces through the heart . )', ' ( The heart starts pumping . )', ' ( End of CGI . )', ' ( Resume to present . )', ' ( ROBBINS puts the syringe on the side and checks his vitals . )', ' [[Robbins]] pulse is rising', ' [[Robbins]] david , string me a suture needle', ' ( He waves him aside . )', ' [[Robbins]] go !', ' [[Robbins]] go !']",1,Victim
8,"[' ( CATHERINE , NICK and SARA search the land fill . )', ' ( After several Dissolves , CATHERINE lifts up a blouse and sees something . )', ' [[Catherine]] i think i may have something here !', ' ( NICK and SARA make their way toward her . )', "" [[Sara]] what 've you got ?"", ' [[Nick]] whoa !', ' ( CATHERINE pushes the garbage aside and finds the severed limb . )', ' [[Catherine]] got a leg', ' [[Nick]] obviously female', ' [[Catherine]] obviously', ' ( CATHERINE picks it up and hands it to NICK . )', ' [[Nick]] whew', "" [[Nick]] i 'll bag it"", ' ( SARA searches the garbage around the limb . )', ' ( She finds something . )', ' [[Sara]] all right', ' [[Sara]] i got a torso and head', ' [[Sara]] missing an eye', ' ( Quick flashback to : The Raven caws , lands and picks at the eye . )', ' ( End of flashback . )', ' ( Resume to present . )', ' ( SARA starts to cough . )', ' [[Catherine]] okay , so , uh how hot do you think it is , underneath all this trash ?', "" [[Nick]] i do n't know , what do you think -- ballpark at 120 degrees ?"", ' ( NICK bags the leg . )', "" [[Catherine]] so this is yesterday 's trash"", ' [[Catherine]] dead body', ' [[Catherine]] minimum 18 hours in this heat', ' [[Sara]] she should be totally bloated', "" [[Catherine]] yeah , she 's not"", "" [[Nick]] yeah , she 's really torn up"", ' ( SARA looks behind her . )', ' [[Sara]] bulldozers are vicious', ' ( Quick flashback to : Camera downward view of the body/limb and garbage being dumped on it . )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Catherine]] yeah , i think they only finished the job', ' [[Catherine]] how did she get here ?']",0,None
9,"[' ( CATHERINE walks into the room . )', ' [[Catherine]] heard you got to be superhero today', ' [[Robbins]] i consider myself a superhero every day', ' [[Catherine]] got anything on our lady of the dump ?', ' [[Robbins]] c.o.d', ' [[Robbins]] is still indeterminate', ' [[Robbins]] blunt force trauma is a possibility', ' [[Robbins]] she has some perimortem bruising around the left eye', ' [[Robbins]] but limb removal is relatively clean', ' [[Robbins]] definitely postmortem', "" [[Catherine]] so we 've got no arms , no prints"", ' [[Catherine]] what kind of identifying characteristics do we have ?', ' [[Robbins]] second degree midline episiotomy scar', ' [[Catherine]] well , that narrows it down to more than half the women in this country who gave birth', ' [[Robbins]] but there might be one other thing', ' [[Robbins]] at first i thought appendectomy , but check out her x ray', ' ( ROBBINS walks over to the view box . )', "" [[Robbins]] she 's had surgery"", ' [[Robbins]] some kind of implant at the l4-l5 interspace', "" [[Robbins]] i 'll know more when i open her up"", "" [[Catherine]] you 're my hero , al"", ' ( CATHERINE smiles over her shoulder at ROBBINS , then turns and leaves . )']",0,None
